transaction_amount,transaction_fee,risk_score,bin,bin_country,card_type,card_brand,issuing_bank,transaction_currency,transaction_local_date,merchant_category_code,merchant_name,merchant_city,merchant_country,acquiring_country,pos_entry_mode,transaction_status,channel,motif_rejet,cvv_validation,expiration_date_valid,is_ecommerce,is_domestic,customer_city,customer_phone,device_id,merchant_id,terminal_id,authorization_code,card_number,mse,proba_mlp,proba_xgboost,score_final
1355.7284484988115,40.72,0.99,51234,USA,Debit,Amex,Attijariwafa Bank,MAD,2025-04-10,5732,Tech Store,Fès,USA,Maroc,Manual,Declined,POS,⚠️ Détection règle HPS : EEE212,Invalid,False,True,False,Abuja,653711725,DEV-797,MID-516,TERM-893,D1L7X,4199495991349433,0.0032,0.9998,0.9999,0.99985
1834.55,45.91,0.9838,51234,Nigeria,Debit,Visa,CIH,MAD,2025-04-10,5411,SuperMarket,Casablanca,USA,Maroc,Manual,Approved,POS,,Invalid,False,False,True,Fès,691022017,DEV-123,MID-999,TERM-888,A5M3Z,4579161067533100,0.0058,0.9991,0.9999
1514.26,47.01,0.9907,45789,Maroc,Debit,Visa,CIH,MAD,2025-04-10,5411,SuperMarket,Casablanca,USA,Maroc,Manual,Approved,POS,,Invalid,False,False,True,Fès,659731634,DEV-123,MID-999,TERM-888,A5M3Z,4228556108814093,0.0034,0.9935,0.9999
316,4780240950969280,478024,Maroc,Prepaid,MasterCard,Mohamed Tahiri,Crédit du Maroc,3241.29,MAD,2025-01-03,2025-01-03T06:16:15,4814,SuperMarket Marjane,Casablanca,USA,Côte d'Ivoire,858879,45.71,Manual,approved,ECOM,Stolen card,Invalid,False,True,False,195.26.36.243,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Rabat,655038287,DEV-135,MID-3071,TERM-39601,0.9899,0,0.0165,1.0,0.9999,0.8012,
1532,4588973850020449,458897,Maroc,Credit,MasterCard,Aya Fassi,BMCI,3123.76,MAD,2025-01-20,2025-01-20T04:48:33,5541,Carrefour Market,Casablanca,USA,France,0,44.38,Manual,declined,ECOM,Stolen card,Invalid,False,True,False,143.59.5.203,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),Rabat,650993195,DEV-582,MID-2613,TERM-54360,0.9857,0,0.0154,1.0,0.9999,0.8002,
7405,4330329563548509,433032,Maroc,Debit,Amex,Aya El Amrani,SGMB,91.52,MAD,2025-01-06,2025-01-06T07:18:17,5812,Restau Chez Hassan,Unknown,Népal,Népal,0,12.69,MANUAL,declined,ECOM,limit_exceeded,not_checked,True,True,False,172.114.14.55,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),Meknès,704838260,DEV-371,MID-1402,TERM-66836,0.983412467104876,1,0.0009,0.8994,0.9999,0.7666,
6186,4165098361499330,416509,Maroc,Debit,MasterCard,Aya Bennani,BMCE Bank,34.23,MAD,2025-01-16,2025-01-16T10:31:35,5094,Acima,Unknown,Thailande,Thailande,0,29.82,MANUAL,declined,ECOM,Bad Cvv2/Cvc2,valid,True,True,False,10.137.107.142,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),Fès,734620493,DEV-868,MID-9872,TERM-79535,0.98307941096727,1,0.001,0.999,0.9999,0.7965,
6882,4948192531184065,494819,Maroc,Credit,MasterCard,Khadija El Amrani,BMCI,2907.05,MAD,2025-01-18,2025-01-18T15:35:02,5812,Electro Planet,Casablanca,USA,Maroc,0,41.16,Manual,declined,ECOM,Stolen card,Invalid,True,True,True,141.12.82.14,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),Meknès,757049871,DEV-108,MID-7244,TERM-34920,0.9998,0,0.0099,1.0,0.9999,0.8019,
774,4245980835078454,424598,Maroc,Debit,MasterCard,Zineb Mansouri,BMCE Bank,84.52,MAD,2025-01-19,2025-01-19T12:37:19,3000,Station Afriquia,Unknown,Indonésie,Indonésie,0,8.97,MANUAL,declined,ATM,expired_card,valid,False,False,False,0.0.0.0,nan,Marrakech,729062178,DEV-502,MID-9600,TERM-51376,0.9854033714427244,1,0.001,0.9985,0.9999,0.7968,
4334,4195545335870813,419554,Maroc,Credit,MasterCard,Fatima El Idrissi,Banque Populaire,20.55,MAD,2025-01-09,2025-01-09T01:34:49,3000,Souvenirs Medina,Unknown,Antigua et Barbade,Antigua et Barbade,0,41.6,MANUAL,declined,ATM,Bad Cvv2/Cvc2,not_checked,True,False,False,0.0.0.0,nan,Meknès,752881407,DEV-240,MID-8832,TERM-39927,0.9840358419945248,1,0.001,0.9983,0.9998,0.7964,
6139,4921953958619645,492195,Maroc,Debit,MasterCard,Amine Bennani,Al Barid Bank,4107.04,MAD,2025-01-25,2025-01-25T07:22:07,4814,Acima,Casablanca,USA,Colombie,0,12.46,Manual,declined,ECOM,Stolen card,Invalid,True,True,False,146.24.44.90,Mozilla/5.0 (Linux; U; Android 9; en-us; Nexus 5),Meknès,705757173,DEV-218,MID-7638,TERM-79493,0.9834,1,0.023674632019334594,0.9999999941960545,0.9998986721038818,0.9999493331499681,EEE205 - CVV invalide USA
7599,4295050185074130,429505,France,Credit,Visa,Zineb Mansouri,Banque Populaire,188.07,MAD,2025-01-23,2025-01-23T23:14:07,5722,Acima,Unknown,Thailande,Thailande,0,47.17,MANUAL,declined,ECOM,limit_exceeded,valid,False,True,False,8.20.171.252,Mozilla/5.0 (Linux; U; Android 9; en-us; Nexus 5),Rabat,601639069,DEV-993,MID-3124,TERM-53148,0.9859749966979308,1,0.001205947663944055,0.9996328532653631,0.9998999834060669,0.999766418335715,
9818,4730984227685571,473098,Maroc,Credit,MasterCard,Omar Bennani,Attijariwafa Bank,45.93,MAD,2025-01-24,2025-01-24T06:48:44,5947,SuperMarket Marjane,Unknown,Indonésie,Indonésie,0,46.08,MANUAL,declined,ECOM,Bad CVV/CVC,valid,False,True,False,105.218.49.1,Mozilla/5.0 (Linux; Android 11; SM-G998B),Marrakech,613686334,DEV-312,MID-5327,TERM-63058,0.983308652767674,1,0.0010314555286270906,0.9980184378571514,0.9998828172683716,0.9989506275627615,
